TARIH_DATE,GUN_TIPI,MEVSIM,CALISMA_DURUMU,AY_ADI,GUN_BILGISI,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,KAZA_SAYISI
2021-12-23,Hafta İçi,Kış,İş Günü,December,Thursday,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,8.0,7.0,10.0,1.0,3.0,9.0,10.0,8.0,14
2021-12-24,Hafta İçi,Kış,İş Günü,December,Friday,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,8.0,7.0,10.0,1.0,3.0,9.0,10.0,14
2021-12-25,Hafta Sonu,Kış,Tatil Günü,December,Saturday,14.0,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,8.0,7.0,10.0,1.0,3.0,9.0,6
2021-12-27,Hafta İçi,Kış,İş Günü,December,Monday,6.0,14.0,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,8.0,7.0,10.0,1.0,3.0,7
2021-12-28,Hafta İçi,Kış,İş Günü,December,Tuesday,7.0,6.0,14.0,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,8.0,7.0,10.0,1.0,9
2021-12-29,Hafta İçi,Kış,İş Günü,December,Wednesday,9.0,7.0,6.0,14.0,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,8.0,7.0,10.0,10
2021-12-30,Hafta İçi,Kış,İş Günü,December,Thursday,10.0,9.0,7.0,6.0,14.0,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,8.0,7.0,9
2021-12-31,Resmi Tatil,Kış,Tatil Günü,December,Friday,9.0,10.0,9.0,7.0,6.0,14.0,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,8.0,8
2022-01-01,Resmi Tatil,Kış,Tatil Günü,January,Saturday,8.0,9.0,10.0,9.0,7.0,6.0,14.0,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,19.0,1
2022-01-02,Hafta Sonu,Kış,Tatil Günü,January,Sunday,1.0,8.0,9.0,10.0,9.0,7.0,6.0,14.0,14.0,15.0,10.0,13.0,2.0,4.0,11.0,11.0,16.0,8.0,15.0,8.0,13.0,3
