District,Freq,Base_Model,MAE,MAPE
TOTAL_IZMIR,Weekly (Agg),ExpSmoothing,65.38000687060422,1033.1889036234381
TOTAL_IZMIR,Monthly (Agg),ExpSmoothing,293.68023278533593,1178.619512984652
ÇİĞLİ,Weekly (Agg),ExpSmoothing,6.25,100.0
ÇİĞLİ,Monthly (Agg),ExpSmoothing,0.6666711674023212,2.564114151022287
KARŞIYAKA,Weekly (Agg),ExpSmoothing,0.28517431584304215,4.6658529547601555
KARŞIYAKA,Monthly (Agg),ExpSmoothing,10.630576536649267,40.740445635663505
BORNOVA,Weekly (Agg),ExpSmoothing,7.370150223503224,118.84971052504049
BORNOVA,Monthly (Agg),ExpSmoothing,7.123140161212028,28.80894541534811
BALÇOVA,Weekly (Agg),ARIMA,5.37684389950095,80.99847385802991
BALÇOVA,Monthly (Agg),ARIMA,23.333333333333332,100.0
NARLIDERE,Weekly (Agg),ARIMA,6.5,100.0
NARLIDERE,Monthly (Agg),ARIMA,24.833333333333332,100.0
KONAK,Weekly (Agg),ExpSmoothing,29.850170842589762,472.3979259918476
KONAK,Monthly (Agg),ExpSmoothing,131.8349446837082,523.5327794999033
BUCA,Weekly (Agg),SARIMA,3.2603155040899607,49.34348131720169
BUCA,Monthly (Agg),SARIMA,17.45488809832694,68.39813547984711
BAYRAKLI,Weekly (Agg),ExpSmoothing,6.215633795171569,98.85949029563625
BAYRAKLI,Monthly (Agg),ExpSmoothing,24.298927356628315,97.70312527931038
KARABAĞLAR,Weekly (Agg),SARIMA,3.422154339817876,53.7391561561036
KARABAĞLAR,Monthly (Agg),SARIMA,14.680264116694707,58.216498684165416
GAZİEMİR,Weekly (Agg),ExpSmoothing,6.2292931548959345,98.42054413259204
GAZİEMİR,Monthly (Agg),ExpSmoothing,22.73701474648628,91.37442513653934
