Name,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
TOTAL_IZMIR,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",4.102455995225367,56.17112598071715,21.987121456151502
TOTAL_IZMIR,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",6.416666666666667,7.890952077211194,73.53758408891488
TOTAL_IZMIR,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",19.778786140129387,6.195537646525733,84.17908054382399
ÇİĞLİ,Daily,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.4666666933783984,1.0945338713153063e-05,2.075974053874299
KARŞIYAKA,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.2739119855945963,14.83439876731317,41.69274157108725
BORNOVA,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.5211169319523961,41.75088543910759,13.299976162844665
BALÇOVA,Daily,ARIMA,"Order=(1, 0, 0), Seas=(0, 0, 0, 0)",0.4,100.0,14.448804851944336
NARLIDERE,Daily,ARIMA,"Order=(1, 0, 0), Seas=(0, 0, 0, 0)",0.03333333333333333,100.0,78.75000000000001
KONAK,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",2.2659516725063065,49.82092215485227,19.296488206492388
BUCA,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 0, 0, 7)",0.3892579650896305,35.35514954166736,34.31400132078656
BAYRAKLI,Daily,ExpSmoothing,"{'trend': 'add', 'seasonal': 'add', 'seasonal_periods': 7}",1.1573938360978355,46.10930513527581,8.166965948965016
KARABAĞLAR,Daily,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 7)",0.5525569656315705,34.73485174743913,1.368768026388118
GAZİEMİR,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.6989811648419836,34.7634227955329,11.789152378598322
ÇİĞLİ,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.7126739262182005,29.66149824500445,22.25375350346904
KARŞIYAKA,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",1.3405990782413983,81.5222861694048,46.921875736879706
BORNOVA,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",2.6150991081758135,67.3510402893576,19.972007758482967
BALÇOVA,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.3329111838497149,99.77746958662676,30.00328954954712
NARLIDERE,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.1881847964098705,97.76114561968538,29.430701346298566
KONAK,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",3.5630045558290178,8.684642894992392,68.33383911932609
BUCA,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.4927561374502048,86.84422636030882,29.058454919620306
BAYRAKLI,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",3.0833333333333335,27.572390763342884,16.333894635554493
KARABAĞLAR,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",1.9402878299200814,74.26338576009974,44.8565212358314
GAZİEMİR,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",2.75,24.90315535346828,9.298245614035114
ÇİĞLİ,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",1.7448248741463874,45.41939936829309,20.084356909325777
KARŞIYAKA,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 12}",4.548242945878955,46.47843442575634,48.06953820119176
BORNOVA,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",4.166666666666667,29.051382411394545,74.2135121196493
BALÇOVA,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.6666666666666666,51.421404815656544,50.0
NARLIDERE,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.5777777829191705,26.66666512424889,0.9523800709993526
KONAK,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",12.617887112276605,7.450169699965257,79.1439882441709
BUCA,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.8519764365208932,63.75221739601541,76.11281019100299
BAYRAKLI,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",5.573589373951866,10.124520692817491,52.29452746974152
KARABAĞLAR,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",2.9751390146816896,13.622025323359196,77.12897618438163
GAZİEMİR,Monthly,Baseline,Mean,8.383333333333331,19.57765027523385,0.0
