District,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
BALÇOVA,Daily,AR,"Order=(1, 0, 0), Seas=(0, 0, 0, 0)",0.4,100.0,14.448804851944336
BALÇOVA,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.6666666666666666,51.421404815656544,50.0
BALÇOVA,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.3329111838497149,99.77746958662676,30.00328954954712
BAYRAKLI,Daily,ExpSmoothing,"{'trend': 'add', 'seasonal': 'add', 'seasonal_periods': 7}",1.1573938360978355,46.10930513527581,8.166965948965016
BAYRAKLI,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",5.573589373951866,10.124520692817491,52.29452746974152
BAYRAKLI,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",3.0833333333333335,27.572390763342884,16.333894635554493
BORNOVA,Daily,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.49329446877124344,36.05520803919991,17.928895457362355
BORNOVA,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",4.100790670144433,26.08254136923131,74.62120266027168
BORNOVA,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.5936670355722007,67.53997550371196,20.627878021556086
BUCA,Daily,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",0.2507571935388808,83.58573117962695,57.685550044414555
BUCA,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.789990502163007,38.929198743308646,77.85073358421475
BUCA,Weekly,SARIMA,"Order=(1, 0, 1), Seas=(1, 0, 0, 52)",0.484184104033881,62.83413351576142,30.292560897845917
GAZİEMİR,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.6989811648419836,34.7634227955329,11.789152378598322
GAZİEMİR,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",6.4243564314391195,15.09817577695604,23.367517716431955
GAZİEMİR,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",2.75,24.90315535346828,9.298245614035114
KARABAĞLAR,Daily,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 7)",0.5525569656315705,34.73485174743913,1.368768026388118
KARABAĞLAR,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",3.0352108251061476,13.746709485099487,76.66718135728777
KARABAĞLAR,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 52)",1.9348744123975337,79.52669200454827,45.010371953025505
KARŞIYAKA,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.2739119855945963,14.83439876731317,41.69274157108725
KARŞIYAKA,Monthly,SARIMA,"Order=(1, 1, 1), Seas=(0, 1, 0, 12)",2.888139063938315,25.263941000778896,67.02410202924854
KARŞIYAKA,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",1.3405990782413983,81.5222861694048,46.921875736879706
KONAK,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",2.2659516725063065,49.82092215485227,19.296488206492388
KONAK,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",11.92853669805531,7.165528553817853,80.2834104164375
KONAK,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",3.5630045558290178,8.684642894992392,68.33383911932609
NARLIDERE,Daily,AR,"Order=(1, 0, 0), Seas=(0, 0, 0, 0)",0.03333333333333333,100.0,78.75000000000001
NARLIDERE,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.5777777829191705,26.66666512424889,0.9523800709993526
NARLIDERE,Weekly,AR,"Order=(1, 0, 0), Seas=(0, 0, 0, 0)",0.16666666666666666,100.0,37.5
ÇİĞLİ,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.46666666687644226,3.1466327321538756e-07,2.0759796149702083
ÇİĞLİ,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",1.7707336341150646,48.15219307532459,18.897696147401632
ÇİĞLİ,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.7062326360282976,29.013153638458622,22.956439706003902
