District,Frequency,Best_Model,MAE,RMSE,MAPE_Pct,Baseline_MAE,Baseline_MAPE,Improvement_MAE_Pct
ÇİĞLİ,Daily,Simple Exp Smoothing,0.47,0.68,0.0,0.48,14.84,2.08
KARŞIYAKA,Daily,Seasonal Only,0.27,0.55,14.83,0.47,38.36,41.69
BORNOVA,Daily,Seasonal Only,0.52,0.61,41.75,0.6,51.82,13.3
BALÇOVA,Daily,Simple Exp Smoothing,0.4,0.63,100.0,0.47,66.22,14.45
NARLIDERE,Daily,Simple Exp Smoothing,0.03,0.18,100.0,0.16,86.76,78.75
KONAK,Daily,Seasonal Only,2.27,2.84,49.82,2.81,73.92,19.3
BUCA,Daily,Simple Exp Smoothing,0.64,0.72,14.77,0.59,26.85,-8.15
BAYRAKLI,Daily,Holt-Winters (Trend+Seas),1.16,1.61,46.11,1.26,69.48,8.17
KARABAĞLAR,Daily,Seasonal Only,0.58,0.8,31.1,0.56,43.67,-2.97
GAZİEMİR,Daily,Seasonal Only,0.7,1.0,34.76,0.79,44.13,11.79
ÇİĞLİ,Weekly,Simple Exp Smoothing,0.92,1.04,50.0,0.92,50.0,-0.0
KARŞIYAKA,Weekly,Holt’s Linear (Trend),1.34,1.7,81.52,2.53,152.02,46.92
BORNOVA,Weekly,Simple Exp Smoothing,2.59,3.16,67.54,3.27,138.48,20.63
BALÇOVA,Weekly,Holt’s Linear (Trend),0.33,0.58,99.78,0.48,57.32,30.0
NARLIDERE,Weekly,Simple Exp Smoothing,0.27,0.37,85.0,0.27,85.0,0.0
KONAK,Weekly,Simple Exp Smoothing,3.57,4.48,8.69,11.25,28.89,68.3
BUCA,Weekly,Holt’s Linear (Trend),0.49,0.62,86.84,0.69,19.46,29.06
BAYRAKLI,Weekly,Holt’s Linear (Trend),3.29,4.18,26.29,3.69,39.74,10.78
KARABAĞLAR,Weekly,Simple Exp Smoothing,2.01,2.51,79.85,3.52,142.85,42.98
GAZİEMİR,Weekly,Simple Exp Smoothing,2.75,3.78,24.84,3.03,30.56,9.3
ÇİĞLİ,Monthly,Simple Exp Smoothing,1.83,2.31,54.49,2.18,66.25,16.03
KARŞIYAKA,Monthly,Seasonal Only,4.55,5.29,46.48,8.76,91.1,48.07
BORNOVA,Monthly,Seasonal Only,6.65,9.03,40.63,16.16,95.75,58.83
BALÇOVA,Monthly,Holt’s Linear (Trend),0.79,0.97,95.89,1.33,66.67,40.49
NARLIDERE,Monthly,Simple Exp Smoothing,0.58,0.63,25.0,0.58,25.0,-0.0
KONAK,Monthly,Simple Exp Smoothing,18.76,22.6,11.53,60.5,35.93,68.98
BUCA,Monthly,Holt’s Linear (Trend),1.25,1.51,63.9,3.57,275.0,64.82
BAYRAKLI,Monthly,Holt’s Linear (Trend),8.17,11.02,15.24,11.68,26.14,30.06
KARABAĞLAR,Monthly,Simple Exp Smoothing,3.5,4.16,17.26,13.01,60.74,73.09
GAZİEMİR,Monthly,Seasonal Only,12.27,12.94,27.0,8.38,19.58,-46.32
