Street,Frequency,Model_Type,Params,MAE,Improvement_Pct
YEŞILDERE CADDESI,Daily,Baseline,Mean,1.1656822612085769,0.0
YEŞILDERE CADDESI,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.7756432255134014,-52.326520236519535
YEŞILDERE CADDESI,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",2.3066420363713167,-97.87914023670525
YEŞILDERE CADDESI,Daily,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.0796992750246235,7.376194100681126
YEŞILDERE CADDESI,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",1.0645168913680163,8.67864024418391
YEŞILDERE CADDESI,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",1.0413869816021786,10.662878190968543
YEŞILDERE CADDESI,Daily,ExpSmoothing,"{'trend': 'add', 'seasonal': 'add', 'seasonal_periods': 7}",1.0472762550751507,10.157657028310881
ANADOLU CADDESI,Daily,Baseline,Mean,1.003573749187784,0.0
ANADOLU CADDESI,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.11443546860605,-11.046693828728477
ANADOLU CADDESI,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",2.45782191817865,-144.90695578355087
ANADOLU CADDESI,Daily,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",0.941758183208173,6.159543932834027
ANADOLU CADDESI,Daily,ARIMA,"Order=(2, 1, 1), Seas=(0, 0, 0, 0)",0.9611602723816028,4.22624414404098
ANADOLU CADDESI,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.9643637727495423,3.9070348810912314
ANADOLU CADDESI,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.9935638457726195,0.9974257919027738
MÜRSELPAŞA BULVARI,Daily,Baseline,Mean,0.9088693671709775,0.0
MÜRSELPAŞA BULVARI,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.1212931376531612,-23.37231049423434
MÜRSELPAŞA BULVARI,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.7589944449752906,-93.53655305277623
MÜRSELPAŞA BULVARI,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.7437880950054072,18.163366279954626
MÜRSELPAŞA BULVARI,Daily,ARIMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.7437880950054072,18.163366279954626
MÜRSELPAŞA BULVARI,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.8119163793674952,10.667428269176495
MÜRSELPAŞA BULVARI,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.7553195392809535,16.894598215800364
AKÇAY CADDESI,Daily,Baseline,Mean,0.7320673819393642,0.0
AKÇAY CADDESI,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.0652910821768362,-45.51817338927312
AKÇAY CADDESI,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",2.03736128414635,-178.30242603475278
AKÇAY CADDESI,Daily,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",0.678036012264326,7.3806552522392685
AKÇAY CADDESI,Daily,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",0.6731866316142682,8.043077970379095
AKÇAY CADDESI,Daily,SARIMA,"Order=(1, 1, 1), Seas=(1, 1, 1, 7)",0.6533706469627548,10.749930527997169
AKÇAY CADDESI,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.6643986402972273,9.243512730053824
MUSTAFA KEMAL SAHIL BULVARI,Daily,Baseline,Mean,0.6380799220272902,0.0
MUSTAFA KEMAL SAHIL BULVARI,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.7621523605810878,-19.444654857591818
MUSTAFA KEMAL SAHIL BULVARI,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.421073833081021,-122.71094639148397
MUSTAFA KEMAL SAHIL BULVARI,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.5473108743709187,14.225341453776283
MUSTAFA KEMAL SAHIL BULVARI,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",0.5718344006114624,10.382010016136281
MUSTAFA KEMAL SAHIL BULVARI,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.5750451811698992,9.878815910257567
MUSTAFA KEMAL SAHIL BULVARI,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.6029420415795411,5.506814935676084
ANKARA CADDESI,Daily,Baseline,Mean,0.6784073531804132,0.0
ANKARA CADDESI,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.6800082278854128,-0.23597543533315118
ANKARA CADDESI,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.4272165963660657,-110.3775246060042
ANKARA CADDESI,Daily,ARMA,"Order=(2, 0, 1), Seas=(0, 0, 0, 0)",0.5704338803221825,15.915728559256447
