Street,Frequency,Model,MAE_SARIMA,MAE_Baseline,RMSE_SARIMA,RMSE_Baseline,Improvement_%
YEŞILDERE CADDESI,Daily,"SARIMA(1, 0, 1)x(1, 1, 1, 7)",1.04,1.17,1.3,1.35,10.66
ANADOLU CADDESI,Daily,"SARIMA(1, 0, 1)x(0, 1, 1, 7)",0.96,1.0,1.36,1.38,3.91
MÜRSELPAŞA BULVARI,Daily,"SARIMA(1, 0, 1)x(0, 1, 1, 7)",0.81,0.91,0.94,1.03,10.67
AKÇAY CADDESI,Daily,"SARIMA(1, 1, 1)x(0, 1, 1, 7)",0.65,0.73,0.95,0.93,10.75
MUSTAFA KEMAL SAHIL BULVARI,Daily,"SARIMA(1, 0, 1)x(0, 1, 1, 7)",0.57,0.64,0.74,0.79,9.89
ANKARA CADDESI,Daily,"SARIMA(1, 0, 1)x(1, 1, 1, 7)",0.55,0.68,0.62,0.74,19.3
ALTINYOL CADDESI,Daily,"SARIMA(1, 0, 1)x(0, 1, 1, 7)",0.56,0.53,0.62,0.61,-5.59
YEŞILLIK CADDESI,Daily,"SARIMA(1, 0, 1)x(1, 1, 1, 7)",0.54,0.56,0.69,0.7,2.18
YEŞILDERE CADDESI,Weekly,"SARIMA(1, 1, 1)x(1, 0, 0, 52)",3.01,4.43,3.66,5.22,32.1
ANADOLU CADDESI,Weekly,"SARIMA(1, 1, 1)x(1, 0, 0, 52)",4.04,4.36,4.62,4.88,7.36
MÜRSELPAŞA BULVARI,Weekly,"SARIMA(1, 1, 1)x(1, 0, 0, 52)",1.77,2.72,2.27,3.43,34.76
AKÇAY CADDESI,Weekly,"SARIMA(1, 1, 1)x(1, 0, 0, 52)",2.53,2.81,3.51,3.47,9.66
MUSTAFA KEMAL SAHIL BULVARI,Weekly,"SARIMA(1, 1, 1)x(1, 0, 0, 52)",2.03,2.34,2.73,2.97,13.08
ANKARA CADDESI,Weekly,"SARIMA(1, 1, 1)x(1, 0, 0, 52)",2.47,3.17,3.03,3.67,22.09
ALTINYOL CADDESI,Weekly,"SARIMA(1, 0, 1)x(1, 0, 0, 52)",2.03,2.62,2.58,3.08,22.45
YEŞILLIK CADDESI,Weekly,"SARIMA(1, 1, 1)x(1, 0, 0, 52)",1.46,2.17,1.84,2.7,32.91
YEŞILDERE CADDESI,Monthly,"SARIMA(0, 1, 1)x(0, 1, 1, 12)",12.18,24.97,13.27,26.82,51.22
ANADOLU CADDESI,Monthly,"SARIMA(0, 1, 1)x(0, 1, 1, 12)",11.18,6.02,12.01,7.7,-85.88
MÜRSELPAŞA BULVARI,Monthly,"SARIMA(0, 1, 1)x(0, 1, 1, 12)",9.86,11.76,11.83,12.61,16.18
AKÇAY CADDESI,Monthly,"SARIMA(0, 1, 1)x(0, 1, 1, 12)",12.2,7.88,12.88,9.78,-54.74
MUSTAFA KEMAL SAHIL BULVARI,Monthly,"SARIMA(0, 1, 1)x(0, 1, 1, 12)",10.22,10.63,12.06,11.44,3.86
ANKARA CADDESI,Monthly,"SARIMA(0, 1, 1)x(1, 1, 1, 12)",13.27,13.34,15.52,13.98,0.51
ALTINYOL CADDESI,Monthly,"SARIMA(0, 1, 1)x(1, 1, 1, 12)",8.39,9.98,9.75,10.07,15.85
YEŞILLIK CADDESI,Monthly,"SARIMA(0, 1, 1)x(0, 1, 1, 12)",3.7,8.35,4.53,8.64,55.74
