Street,Frequency,Model_Type,Params,MAE,Improvement_Pct
AKÇAY CADDESI,Daily,SARIMA,"Order=(1, 1, 1), Seas=(1, 1, 1, 7)",0.6533706469627548,10.749930527997169
AKÇAY CADDESI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",6.252403219570813,20.688331252801493
AKÇAY CADDESI,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.47709284507857,11.716880592460429
ALTINYOL CADDESI,Daily,Baseline,Mean,0.5327655767040833,0.0
ALTINYOL CADDESI,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",1.3718529886657855,86.24708783292445
ALTINYOL CADDESI,Weekly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",1.9403759883969183,26.005946081415694
ANADOLU CADDESI,Daily,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",0.941758183208173,6.159543932834027
ANADOLU CADDESI,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",4.657886664803553,22.583601138999107
ANADOLU CADDESI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",3.8116575694224846,12.539671718702964
ANKARA CADDESI,Daily,ARIMA,"Order=(2, 1, 2), Seas=(0, 0, 0, 0)",0.5243864832933389,22.703301956415345
ANKARA CADDESI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",3.8150725062983564,71.4048281851466
ANKARA CADDESI,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.4141368456585988,23.806760998799668
MUSTAFA KEMAL SAHIL BULVARI,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.5473108743709187,14.225341453776283
MUSTAFA KEMAL SAHIL BULVARI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",5.7621359717671075,45.810633494353226
MUSTAFA KEMAL SAHIL BULVARI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.0021813408969096,14.452251798041104
MÜRSELPAŞA BULVARI,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.7437880950054072,18.163366279954626
MÜRSELPAŞA BULVARI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",5.176932830496363,55.97222256133496
MÜRSELPAŞA BULVARI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.5963177101641628,41.232167850353285
YEŞILDERE CADDESI,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",1.0413869816021786,10.662878190968543
YEŞILDERE CADDESI,Monthly,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",10.274592490572866,58.84675904977491
YEŞILDERE CADDESI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.7496740884679682,37.992155701881885
YEŞILLIK CADDESI,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.543116765114276,2.2389822794303087
YEŞILLIK CADDESI,Monthly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",1.9879056078668558,76.19274721117539
YEŞILLIK CADDESI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.4900975711085904,31.33864133127083
