Street,Type_Group,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
YEŞILDERE CADDESI,Combined,Daily,Baseline,Mean,1.0460282651072124,0.5947826709515305,0.0
YEŞILDERE CADDESI,Combined,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.3343004448420823,0.5441072406945898,-27.558737115514138
YEŞILDERE CADDESI,Combined,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.9137452942990814,0.9654119609657481,-82.95349735152067
YEŞILDERE CADDESI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",1.00581904659648,0.5226786459856203,3.843989675232256
YEŞILDERE CADDESI,Combined,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",1.0079585984673753,0.5273705094991277,3.639449134382146
YEŞILDERE CADDESI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",1.00375003862198,0.5422466083478029,4.041786239963515
YEŞILDERE CADDESI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.01175507769963,0.48676620700182927,3.276506816387941
ANADOLU CADDESI,Combined,Daily,Baseline,Mean,0.48611111111111105,0.3817689628369952,0.0
ANADOLU CADDESI,Combined,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.8053326101369881,0.559360046608148,-65.66842265675186
ANADOLU CADDESI,Combined,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.5724809524680872,0.9574484941489545,-223.48179593629226
ANADOLU CADDESI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.5353227423151954,0.39014304807920297,-10.123535561983065
ANADOLU CADDESI,Combined,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",0.52085800263213,0.39578880328994387,-7.147931970038185
ANADOLU CADDESI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.5007977463974039,0.40176949311732735,-3.021250687465965
ANADOLU CADDESI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.5181134295189046,0.44551769103799377,-6.583334072460388
MÜRSELPAŞA BULVARI,Combined,Daily,Baseline,Mean,0.596008321096427,0.3806818326612748,0.0
MÜRSELPAŞA BULVARI,Combined,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.8974743539109925,0.4463645790947845,-50.58084294192127
MÜRSELPAŞA BULVARI,Combined,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.683612784970443,0.9985723850624754,-182.4814227212869
MÜRSELPAŞA BULVARI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.581275291488497,0.33656724736111593,2.4719503212349223
MÜRSELPAŞA BULVARI,Combined,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",0.5815217424158872,0.34282447779177944,2.4306000718060554
MÜRSELPAŞA BULVARI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.5869229565976384,0.35505944564386044,1.5243687339926757
MÜRSELPAŞA BULVARI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.6013498140827154,0.39002096682698423,-0.8962111429018451
AKÇAY CADDESI,Combined,Daily,Baseline,Mean,0.6839713890920912,0.5085587526077648,0.0
AKÇAY CADDESI,Combined,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.7999418047481437,0.4576306838421434,-16.95544835727595
AKÇAY CADDESI,Combined,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.4739629758205859,0.9199302089727923,-115.50067726913775
AKÇAY CADDESI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.6233188459930386,0.41010758059499014,8.867701787872049
AKÇAY CADDESI,Combined,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",0.6271348756637795,0.41662662138617257,8.309779375970239
AKÇAY CADDESI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.6735807489036798,0.48833339442621454,1.5191629875343204
AKÇAY CADDESI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.6288118073748611,0.4215286508297196,8.064603665724873
MUSTAFA KEMAL SAHIL BULVARI,Combined,Daily,Baseline,Mean,0.301513157894737,0.25407111528822063,0.0
MUSTAFA KEMAL SAHIL BULVARI,Combined,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.5175690073857692,0.420496646021051,-71.65718769940405
MUSTAFA KEMAL SAHIL BULVARI,Combined,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.2231956719329198,0.9313743701506122,-305.6856690678676
MUSTAFA KEMAL SAHIL BULVARI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.32284489090178675,0.26103031417822325,-7.074892902185388
MUSTAFA KEMAL SAHIL BULVARI,Combined,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",0.3353999844213632,0.2846305268341241,-11.238921300561168
MUSTAFA KEMAL SAHIL BULVARI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.3390242346738067,0.29070127997229606,-12.44094189486929
MUSTAFA KEMAL SAHIL BULVARI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.3902651794276991,0.345087507881276,-29.43553845300074
ANKARA CADDESI,Combined,Daily,Baseline,Mean,0.49751431844215344,0.36700158184694265,0.0
ANKARA CADDESI,Combined,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.6960784953313381,0.44256551283050016,-39.91124868746305
ANKARA CADDESI,Combined,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.2931958234482612,0.9543069345593724,-159.93137795462718
ANKARA CADDESI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.5255336912369707,0.3002133617662005,-5.631872642892608
ANKARA CADDESI,Combined,Daily,ARIMA,"Order=(2, 1, 2), Seas=(0, 0, 0, 0)",0.4232596168168043,0.267490939264147,14.925138608645454
ANKARA CADDESI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.46654105434584564,0.333324729276944,6.2256025501523515
ANKARA CADDESI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.3692334493488111,0.19086991237751214,25.784357221119397
ALTINYOL CADDESI,Combined,Daily,Baseline,Mean,0.33385917785917785,0.25075634242300904,0.0
ALTINYOL CADDESI,Combined,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.6856574676210277,0.4779895014409946,-105.37325707734139
ALTINYOL CADDESI,Combined,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.3106934063705062,0.9653140631970267,-292.5887000546554
ALTINYOL CADDESI,Combined,Daily,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",0.6449195060814593,0.44476677348705457,-93.17111789974126
