Street,Type_Group,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
AKÇAY CADDESI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.6233188459930386,0.41010758059499014,8.867701787872049
AKÇAY CADDESI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",3.8121789259645467,0.12537064129617054,23.883282676248605
AKÇAY CADDESI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.3631229775615705,0.4071428522356488,1.5656307721768292
ALTINYOL CADDESI,Combined,Daily,Baseline,Mean,0.33385917785917785,0.25075634242300904,0.0
ALTINYOL CADDESI,Combined,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.389303962546952,0.1833022793740082,25.334251170407768
ALTINYOL CADDESI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.6182048157785154,0.45735006285271274,4.781688461232901
ANADOLU CADDESI,Combined,Daily,Baseline,Mean,0.48611111111111105,0.3817689628369952,0.0
ANADOLU CADDESI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",6.231433796933557,0.27286075197968734,18.36549611004076
ANADOLU CADDESI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",3.1010594326077623,0.6927404509873502,12.04437918075042
ANKARA CADDESI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.3692334493488111,0.19086991237751214,25.784357221119397
ANKARA CADDESI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",4.666102121245687,0.4730545781887486,42.92229821106193
ANKARA CADDESI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.9318072541540487,0.47067282995747517,3.987254079253909
MUSTAFA KEMAL SAHIL BULVARI,Combined,Daily,Baseline,Mean,0.301513157894737,0.25407111528822063,0.0
MUSTAFA KEMAL SAHIL BULVARI,Combined,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",3.1276111549987617,0.18552742002071806,46.07566974140066
MUSTAFA KEMAL SAHIL BULVARI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.5514829656875762,0.4665806058163011,7.793846928578196
MÜRSELPAŞA BULVARI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.581275291488497,0.33656724736111593,2.4719503212349223
MÜRSELPAŞA BULVARI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",6.102308813391009,0.2640674167996438,26.62554532996785
MÜRSELPAŞA BULVARI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",2.0225704451504387,0.649775767481431,24.191613848044355
YEŞILDERE CADDESI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",1.00375003862198,0.5422466083478029,4.041786239963515
YEŞILDERE CADDESI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",9.313017168973127,0.4249739465330551,9.141295912457293
YEŞILDERE CADDESI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.526999203663556,0.477491991948177,10.051905909356565
YEŞILLIK CADDESI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.2000358471757413,0.11671296926866587,40.37712215152266
YEŞILLIK CADDESI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",2.5775256375447517,0.18033803445197902,38.87290978154738
YEŞILLIK CADDESI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.3083010505157067,0.8075252507633568,26.869990833413425
