Street,Frequency,Model,MAE,Improvement_Pct
YEŞILDERE CADDESI,Daily,DummyRegressor,1.1656822612085769,0.0
YEŞILDERE CADDESI,Daily,LinearRegression,1.0375792158994268,10.989533732488397
YEŞILDERE CADDESI,Daily,Ridge,1.0343421261814774,11.267232881362228
YEŞILDERE CADDESI,Daily,Lasso,1.0509345926582647,9.843820427647412
YEŞILDERE CADDESI,Daily,RandomForest,1.1899774754272998,-2.0842055358664986
YEŞILDERE CADDESI,Daily,GradientBoosting,1.1316485468451487,2.919639038526853
YEŞILDERE CADDESI,Daily,KNN,1.2788888888888892,-9.711619662371795
YEŞILDERE CADDESI,Daily,SVR,1.1291612881530333,3.133012680288942
ANADOLU CADDESI,Daily,DummyRegressor,1.003573749187784,0.0
ANADOLU CADDESI,Daily,LinearRegression,0.9725522348739711,3.0911045988318637
ANADOLU CADDESI,Daily,Ridge,0.9726948382757844,3.0768950400496933
ANADOLU CADDESI,Daily,Lasso,0.9664575408053914,3.6984036711234958
ANADOLU CADDESI,Daily,RandomForest,1.1159050301639597,-11.193126670270917
ANADOLU CADDESI,Daily,GradientBoosting,1.6845890844832225,-67.85902240334607
ANADOLU CADDESI,Daily,KNN,1.088,-8.412560699255451
ANADOLU CADDESI,Daily,SVR,0.9275546897938406,7.574835377615996
MÜRSELPAŞA BULVARI,Daily,DummyRegressor,0.9088693671709775,0.0
MÜRSELPAŞA BULVARI,Daily,LinearRegression,0.7169437271260701,21.11696652757823
MÜRSELPAŞA BULVARI,Daily,Ridge,0.7284864469682557,19.84695784876068
MÜRSELPAŞA BULVARI,Daily,Lasso,0.7625875227527392,16.094925156688618
MÜRSELPAŞA BULVARI,Daily,RandomForest,0.7452800560692217,17.999210558824046
MÜRSELPAŞA BULVARI,Daily,GradientBoosting,0.7784562967374155,14.348934527246382
MÜRSELPAŞA BULVARI,Daily,KNN,0.8017777777777778,11.782946291450216
MÜRSELPAŞA BULVARI,Daily,SVR,0.7455252270035618,17.97223518225224
AKÇAY CADDESI,Daily,DummyRegressor,0.7320673819393642,0.0
AKÇAY CADDESI,Daily,LinearRegression,0.6836913186897678,6.608143518352142
AKÇAY CADDESI,Daily,Ridge,0.6622408961426436,9.538259389694291
AKÇAY CADDESI,Daily,Lasso,0.6568912488144018,10.269018259741165
AKÇAY CADDESI,Daily,RandomForest,0.8924992012762264,-21.914897903503437
AKÇAY CADDESI,Daily,GradientBoosting,1.033045778837869,-41.11348276454618
AKÇAY CADDESI,Daily,KNN,0.7138888888888889,2.483172109419423
AKÇAY CADDESI,Daily,SVR,0.7687016379962657,-5.004219141665824
MUSTAFA KEMAL SAHIL BULVARI,Daily,DummyRegressor,0.6380799220272902,0.0
MUSTAFA KEMAL SAHIL BULVARI,Daily,LinearRegression,0.5268839782106159,17.42664828935309
MUSTAFA KEMAL SAHIL BULVARI,Daily,Ridge,0.5249961729099889,17.722505475178522
MUSTAFA KEMAL SAHIL BULVARI,Daily,Lasso,0.525739810415189,17.605962471782103
MUSTAFA KEMAL SAHIL BULVARI,Daily,RandomForest,0.8131894832492169,-27.443201890066266
