Street,Frequency,Model,MAE,Improvement_Pct
AKÇAY CADDESI,Daily,Lasso,0.6568912488144018,10.269018259741165
AKÇAY CADDESI,Monthly,RandomForest,6.085,22.8118393234672
AKÇAY CADDESI,Weekly,LinearRegression,2.4065597624692905,14.23066628545466
ALTINYOL CADDESI,Daily,DummyRegressor,0.5327655767040833,0.0
ALTINYOL CADDESI,Monthly,KNN,0.8999999999999998,90.97744360902256
ALTINYOL CADDESI,Weekly,GradientBoosting,1.7321609561644762,33.94599193531004
ANADOLU CADDESI,Daily,SVR,0.9275546897938406,7.574835377615996
ANADOLU CADDESI,Monthly,SVR,5.088983468655354,15.418557307667227
ANADOLU CADDESI,Weekly,Lasso,3.785110472643501,13.14880770663407
ANKARA CADDESI,Daily,LinearRegression,0.49185179477208296,27.49904722195992
ANKARA CADDESI,Monthly,KNN,3.7999999999999994,71.51780137414117
ANKARA CADDESI,Weekly,Lasso,2.413531576253771,23.825864073467994
MUSTAFA KEMAL SAHIL BULVARI,Daily,Ridge,0.5249961729099889,17.722505475178522
MUSTAFA KEMAL SAHIL BULVARI,Monthly,RandomForest,5.614999999999999,47.19435736677117
MUSTAFA KEMAL SAHIL BULVARI,Weekly,RandomForest,1.9339642857142862,17.366980519480467
MÜRSELPAŞA BULVARI,Daily,LinearRegression,0.7169437271260701,21.11696652757823
MÜRSELPAŞA BULVARI,Monthly,GradientBoosting,3.85654466231286,67.20160457281763
MÜRSELPAŞA BULVARI,Weekly,RandomForest,1.6431317276830726,39.50872751871718
YEŞILDERE CADDESI,Daily,Ridge,1.0343421261814774,11.267232881362228
YEŞILDERE CADDESI,Monthly,LinearRegression,11.337231083294071,54.5905297064323
YEŞILDERE CADDESI,Weekly,LinearRegression,2.835486414607658,36.057003684977246
YEŞILLIK CADDESI,Daily,KNN,0.4862222222222222,12.479999999999986
YEŞILLIK CADDESI,Monthly,RandomForest,1.72,79.40119760479043
YEŞILLIK CADDESI,Weekly,SVR,1.4888150346191171,31.397738600883812
