Date,Time,Temperature,Condition
2021-12-01,12:15 AM,11.0,Light Rain Shower
2021-12-01,12:20 AM,11.0,Light Rain Shower
2021-12-01,12:32 AM,10.0,Mostly Cloudy
2021-12-01,12:50 AM,9.0,Mostly Cloudy
2021-12-01,1:20 AM,10.0,Mostly Cloudy
2021-12-01,1:50 AM,10.0,Partly Cloudy
2021-12-01,2:20 AM,10.0,Partly Cloudy
2021-12-01,2:50 AM,10.0,Partly Cloudy
2021-12-01,3:20 AM,9.0,Partly Cloudy
2021-12-01,3:50 AM,9.0,Partly Cloudy
2021-12-01,4:20 AM,8.0,Partly Cloudy
2021-12-01,4:50 AM,7.0,Partly Cloudy
2021-12-01,5:20 AM,6.0,Fair
2021-12-01,5:50 AM,8.0,Fair
2021-12-01,6:20 AM,8.0,Fair
2021-12-01,6:50 AM,8.0,Fair
2021-12-01,7:20 AM,4.0,Partly Cloudy
2021-12-01,7:50 AM,5.0,Partly Cloudy
2021-12-01,8:20 AM,4.0,Partly Cloudy
2021-12-01,8:50 AM,4.0,Partly Cloudy
2021-12-01,9:20 AM,6.0,Partly Cloudy
2021-12-01,9:50 AM,8.0,Partly Cloudy
2021-12-01,10:20 AM,9.0,Partly Cloudy
2021-12-01,10:50 AM,11.0,Partly Cloudy
2021-12-01,11:20 AM,12.0,Partly Cloudy
2021-12-01,11:50 AM,11.0,Partly Cloudy
2021-12-01,12:20 PM,13.0,Partly Cloudy
2021-12-01,12:50 PM,13.0,Partly Cloudy
2021-12-01,1:20 PM,13.0,Partly Cloudy
2021-12-01,1:50 PM,13.0,Partly Cloudy
2021-12-01,2:20 PM,13.0,Partly Cloudy
2021-12-01,2:50 PM,13.0,Partly Cloudy
2021-12-01,3:20 PM,13.0,Partly Cloudy
2021-12-01,3:50 PM,13.0,Partly Cloudy
2021-12-01,4:20 PM,13.0,Fair
2021-12-01,4:50 PM,12.0,Fair
2021-12-01,5:20 PM,12.0,Fair
2021-12-01,5:50 PM,10.0,Fair
2021-12-01,6:20 PM,9.0,Fair
2021-12-01,6:50 PM,9.0,Fair
2021-12-01,7:20 PM,8.0,Fair
2021-12-01,7:50 PM,6.0,Fair
2021-12-01,8:20 PM,7.0,Fair
2021-12-01,8:50 PM,6.0,Fair
2021-12-01,9:20 PM,6.0,Fair
2021-12-01,9:50 PM,4.0,Fair
2021-12-01,10:20 PM,4.0,Fair
2021-12-01,10:50 PM,5.0,Fair
2021-12-01,11:20 PM,4.0,Fair
2021-12-01,11:50 PM,4.0,Fair
2021-12-02,12:20 AM,4.0,Fair
2021-12-02,12:50 AM,4.0,Fair
2021-12-02,1:20 AM,3.0,Fair
2021-12-02,1:50 AM,3.0,Fair
2021-12-02,2:20 AM,4.0,Fair
2021-12-02,2:50 AM,3.0,Fair
2021-12-02,3:20 AM,3.0,Fair
2021-12-02,3:50 AM,3.0,Fair
2021-12-02,4:20 AM,3.0,Fair
2021-12-02,4:50 AM,3.0,Fair
2021-12-02,5:20 AM,3.0,Fair
2021-12-02,5:50 AM,2.0,Fair
2021-12-02,6:20 AM,2.0,Fair
2021-12-02,6:50 AM,2.0,Fair
2021-12-02,7:20 AM,2.0,Fair
2021-12-02,7:50 AM,1.0,Fair
2021-12-02,8:20 AM,1.0,Fair
2021-12-02,8:50 AM,1.0,Fair
